,Image,Attractiveness_Score,Age_Score,Gender_Score
56,100017514402329822893_1744448371_face0.jpg,7.8,8.6,8.0
57,100017549646151382606_1744455622_face0.jpg,5.4,3.6,4.9
58,100018042707298027060_face0.jpg,6.5,4.4,5.7
59,100019027589953940064_1744438401_face0.jpg,4.8,3.6,3.4
60,100019055045137221373_face0.jpg,4.0,3.6,4.8
61,100019069651136707795_1744448295_face0.jpg,4.0,5.6,7.4
62,100019486922974123394_1744471264_face0.jpg,6.3,3.9,5.5
63,100020150097618037880_face0.jpg,5.3,8.3,6.8
64,100020150097618037880_face1.jpg,2.4,3.1,3.5
65,100020525337816927016_face0.jpg,4.7,4.2,6.0
66,100020569100138413199_face0.jpg,2.7,4.2,6.8
67,100021131360768908823_face0.jpg,1.5,3.2,2.5
68,100021384375370638701_face0.jpg,5.4,8.6,8.4
69,100021470631947800351_face0.jpg,6.0,4.3,4.0
70,100021912784795182442_1744452070_face0.jpg,5.6,3.3,4.3
71,100021912784795182442_1744452070_face1.jpg,4.6,1.4,3.6
72,100022116411138009111_face0.jpg,7.6,4.7,5.3
73,100023033960703091659_face0.jpg,1.4,1.7,3.1
74,100024461696951805174_face0.jpg,4.5,8.9,2.1
75,100024947477461621972_face0.jpg,7.6,3.7,5.0
76,100025809087621473573_1744457704_face0.jpg,5.8,4.1,5.4
77,100026735837956780627_1744478898_face0.jpg,1.9,1.8,4.2
78,100028765100382520633_face0.jpg,3.8,1.0,6.6
79,100028888404556580268_1744449090_face0.jpg,5.2,7.3,4.0
80,100029436273826421695_face0.jpg,1.9,6.6,7.5
81,100029705738825301852_face0.jpg,4.5,4.6,3.1
82,100029760253432350441_face0.jpg,5.1,4.1,5.6
83,100030674068233674039_face0.jpg,4.3,3.5,5.4
84,100030985834981132007_1744465753_face0.jpg,4.1,7.3,7.3
85,100030985834981132007_1744465753_face1.jpg,1.0,4.5,2.3
86,100031227004604378549_face0.jpg,4.6,6.6,7.4
87,100031758861150125737_face0.jpg,5.0,4.4,5.2
88,100032277270446686854_1744445197_face0.jpg,4.6,2.9,5.5
89,100032357475261096445_face0.jpg,4.5,8.0,7.2
90,100032458988044407664_face0.jpg,4.6,5.9,7.9
91,100032549015997652834_1744464952_face0.jpg,1.0,1.0,1.8
92,100033103768224171443_1744437459_face0.jpg,6.7,3.8,5.1
93,100033531582866393045_1744452305_face0.jpg,4.1,5.2,7.4
94,100033531582866393045_1744452305_face1.jpg,5.2,7.2,4.2
95,100033791462607432326_face0.jpg,4.3,7.7,8.5
96,100034227509716251848_face0.jpg,2.8,2.1,3.9
97,100036003786047604629_1744444654_face0.jpg,5.2,1.0,3.7
98,100036003786047604629_1744444654_face1.jpg,7.1,4.9,5.1
99,100037263537800475877_face0.jpg,2.0,5.6,7.9
100,100037778275960465158_face0.jpg,4.6,6.9,6.8
101,100038049669596426328_1744458954_face0.jpg,6.7,8.0,5.9
102,100038279754767339267_face0.jpg,2.6,3.9,4.2
103,100039780490646921080_1744430768_face0.jpg,4.4,3.5,4.1
104,100039780490646921080_1744430768_face1.jpg,4.7,3.6,4.3
105,100039973497178117861_face0.jpg,3.5,4.8,1.8
106,100039990700039022016_face0.jpg,6.3,3.8,5.7
107,100039990700039022016_face1.jpg,8.3,4.0,5.8
108,100039990700039022016_face2.jpg,6.7,3.4,5.8
109,100040488037774109033_face0.jpg,7.9,4.4,4.8
110,100041411822457669206_face0.jpg,6.4,4.3,5.4
111,100041480717445201537_face0.jpg,8.2,8.0,7.6
112,100042511483360390955_1744429926_face0.jpg,8.1,5.5,5.3
113,100042511483360390955_1744429926_face1.jpg,6.7,3.3,5.6
114,100042673650401585421_1744460655_face0.jpg,7.7,4.5,4.7
115,100043921392277789565_1744431081_face0.jpg,2.5,3.4,2.6
116,100043927279834717908_1744434617_face0.jpg,6.8,3.9,5.9
117,100043927279834717908_1744434617_face1.jpg,6.8,4.4,5.8
118,100043927279834717908_1744434617_face2.jpg,6.7,3.7,6.0
119,100046223033287014010_face0.jpg,6.5,6.7,7.4
120,100047370888489694968_face0.jpg,5.9,4.4,6.4
121,100047623899194271079_face0.jpg,7.1,3.6,5.8
122,100048013583385514713_1744428188_face0.jpg,4.0,5.1,2.0
123,100049037411932231471_face0.jpg,2.2,1.7,3.2
124,100049236162958812426_face0.jpg,3.5,1.0,3.3
125,100049784492531084547_face0.jpg,5.2,5.7,1.9
126,100050234240300195767_1744478616_face0.jpg,6.8,5.5,7.5
127,100050241473100744674_face0.jpg,5.3,4.9,3.9
128,100050771518765428752_face0.jpg,5.4,3.7,5.4
129,100051017967764250711_1744428898_face0.jpg,4.5,4.5,7.5
130,100051880172049652796_face0.jpg,4.7,3.0,6.7
131,100051997581707507782_face0.jpg,7.3,4.6,5.6
132,100053397884031553251_face0.jpg,5.1,3.9,6.1
133,100053397884031553251_face1.jpg,6.3,4.8,5.8
134,100054082229178919301_1744454292_face0.jpg,3.6,3.2,1.1
135,100055794450078339931_1744437033_face0.jpg,7.6,4.1,5.6
136,100055830160591227420_face0.jpg,1.0,1.7,3.8
137,100055891434732452785_1744452400_face0.jpg,6.9,7.8,2.6
